"subject" "activity" "measurement" "mean"
3 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0324109410555932
4 "laying" "TimeBodyAccelerationMeanY" -0.0150031841055556
4 "sitting" "TimeBodyAccelerationMeanY" -0.007163065158
4 "standing" "TimeBodyAccelerationMeanY" -0.00948911098553571
4 "walking" "TimeBodyAccelerationMeanY" -0.0148399475341667
4 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.00980200850666667
4 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0319804295729615
5 "laying" "TimeBodyAccelerationMeanY" -0.0183042123269231
5 "sitting" "TimeBodyAccelerationMeanY" -0.00990083527045455
5 "standing" "TimeBodyAccelerationMeanY" -0.00700418554517857
5 "walking" "TimeBodyAccelerationMeanY" -0.0172850317482679
5 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.00850107533191489
5 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0325269755153191
6 "laying" "TimeBodyAccelerationMeanY" -0.0102529170561404
6 "sitting" "TimeBodyAccelerationMeanY" -0.0145911615290909
6 "standing" "TimeBodyAccelerationMeanY" -0.0181236327175439
6 "walking" "TimeBodyAccelerationMeanY" -0.0168954189082456
6 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.019536840063125
6 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0272425385070588
7 "laying" "TimeBodyAccelerationMeanY" -0.0204411516884615
7 "sitting" "TimeBodyAccelerationMeanY" -0.01461097580375
7 "standing" "TimeBodyAccelerationMeanY" -0.0145740341037736
7 "walking" "TimeBodyAccelerationMeanY" -0.018653665345614
7 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0166332372978723
7 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0275639005607843
8 "laying" "TimeBodyAccelerationMeanY" -0.0212281733881481
8 "sitting" "TimeBodyAccelerationMeanY" -0.00672550621304348
8 "standing" "TimeBodyAccelerationMeanY" -0.0148113067148148
8 "walking" "TimeBodyAccelerationMeanY" -0.0186628865310417
8 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0211058674973684
8 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0282415136341463
9 "laying" "TimeBodyAccelerationMeanY" -0.020526821662
9 "sitting" "TimeBodyAccelerationMeanY" -0.02701677698
9 "standing" "TimeBodyAccelerationMeanY" -0.0200454954022222
9 "walking" "TimeBodyAccelerationMeanY" -0.0180891971284423
9 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0203994269075476
9 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0195101099975714
10 "laying" "TimeBodyAccelerationMeanY" -0.024294484137931
10 "sitting" "TimeBodyAccelerationMeanY" -0.015042681852037
10 "standing" "TimeBodyAccelerationMeanY" -0.0155418603409091
10 "walking" "TimeBodyAccelerationMeanY" -0.017022351190566
10 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0200050770710526
10 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0143854920340426
11 "laying" "TimeBodyAccelerationMeanY" -0.0176598052315789
11 "sitting" "TimeBodyAccelerationMeanY" -0.0149195616754717
11 "standing" "TimeBodyAccelerationMeanY" -0.0171990886595745
11 "walking" "TimeBodyAccelerationMeanY" -0.0166475833623729
11 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0178097721219565
11 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0303157822055556
12 "laying" "TimeBodyAccelerationMeanY" -0.0175203917146667
12 "sitting" "TimeBodyAccelerationMeanY" -0.0157892988523529
12 "standing" "TimeBodyAccelerationMeanY" -0.0169002543196721
12 "walking" "TimeBodyAccelerationMeanY" -0.015560927606
12 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.018084266865793
12 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0263574903403846
13 "laying" "TimeBodyAccelerationMeanY" -0.020440454366129
13 "sitting" "TimeBodyAccelerationMeanY" -0.00587732936326531
13 "standing" "TimeBodyAccelerationMeanY" -0.0167891993964912
13 "walking" "TimeBodyAccelerationMeanY" -0.0185660651947368
13 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0143723839108511
13 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0277392253910909
14 "laying" "TimeBodyAccelerationMeanY" -0.0113424652490196
14 "sitting" "TimeBodyAccelerationMeanY" -0.00870565463888889
14 "standing" "TimeBodyAccelerationMeanY" -0.01520781344
14 "walking" "TimeBodyAccelerationMeanY" -0.0217785380966102
14 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0200141413657778
14 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0204388180024074
15 "laying" "TimeBodyAccelerationMeanY" -0.0166296542054167
15 "sitting" "TimeBodyAccelerationMeanY" -0.0117188472271186
15 "standing" "TimeBodyAccelerationMeanY" -0.0183516360396226
15 "walking" "TimeBodyAccelerationMeanY" -0.0170809740090741
15 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.00563047804309524
15 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0287523860708333
16 "laying" "TimeBodyAccelerationMeanY" -0.0166103510562857
16 "sitting" "TimeBodyAccelerationMeanY" -0.0102497939956522
16 "standing" "TimeBodyAccelerationMeanY" -0.0165999672935897
16 "walking" "TimeBodyAccelerationMeanY" -0.0204286929452941
16 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0183898583787234
16 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0143654945011765
17 "laying" "TimeBodyAccelerationMeanY" -0.0168462006729577
17 "sitting" "TimeBodyAccelerationMeanY" -0.014156274084375
17 "standing" "TimeBodyAccelerationMeanY" -0.0174120064169231
17 "walking" "TimeBodyAccelerationMeanY" -0.0184875403339344
17 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0167359404347826
17 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0228645614308333
18 "laying" "TimeBodyAccelerationMeanY" -0.0173937684615385
18 "sitting" "TimeBodyAccelerationMeanY" -0.0128691279736842
18 "standing" "TimeBodyAccelerationMeanY" -0.0166353518150685
18 "walking" "TimeBodyAccelerationMeanY" -0.0178023631866071
18 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0168666920221818
18 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0222060684378914
19 "laying" "TimeBodyAccelerationMeanY" -0.0171426864421687
19 "sitting" "TimeBodyAccelerationMeanY" -0.016739260030137
19 "standing" "TimeBodyAccelerationMeanY" -0.0154244056945205
19 "walking" "TimeBodyAccelerationMeanY" -0.0191773587903846
19 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0145942275069487
19 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0303986615775
20 "laying" "TimeBodyAccelerationMeanY" -0.0144406281132353
20 "sitting" "TimeBodyAccelerationMeanY" -0.0147229305131818
20 "standing" "TimeBodyAccelerationMeanY" -0.0180695049161644
20 "walking" "TimeBodyAccelerationMeanY" -0.021199992245098
20 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.00964120773155556
20 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0282258047588235
21 "laying" "TimeBodyAccelerationMeanY" -0.0184233048415556
21 "sitting" "TimeBodyAccelerationMeanY" -0.0144009705494118
21 "standing" "TimeBodyAccelerationMeanY" -0.0167084730205618
21 "walking" "TimeBodyAccelerationMeanY" -0.0181610317526923
21 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0173195390157778
21 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0237218695148936
22 "laying" "TimeBodyAccelerationMeanY" -0.0142629864502778
22 "sitting" "TimeBodyAccelerationMeanY" -0.0123468446419355
22 "standing" "TimeBodyAccelerationMeanY" -0.0158563207496825
22 "walking" "TimeBodyAccelerationMeanY" -0.0167213607957174
22 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0197999371686389
22 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0268622561133333
23 "laying" "TimeBodyAccelerationMeanY" -0.0216553835833333
23 "sitting" "TimeBodyAccelerationMeanY" -0.0133945015676471
23 "standing" "TimeBodyAccelerationMeanY" -0.0177475547867647
23 "walking" "TimeBodyAccelerationMeanY" -0.0183618711932203
23 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0162111457238889
23 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0323844029237255
24 "laying" "TimeBodyAccelerationMeanY" -0.0173555210111111
24 "sitting" "TimeBodyAccelerationMeanY" -0.0131255097938235
24 "standing" "TimeBodyAccelerationMeanY" -0.0144785340348986
24 "walking" "TimeBodyAccelerationMeanY" -0.0225446400534483
24 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0145730348310909
24 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0251979434569492
25 "laying" "TimeBodyAccelerationMeanY" -0.0188943663671233
25 "sitting" "TimeBodyAccelerationMeanY" -0.0147696808030769
25 "standing" "TimeBodyAccelerationMeanY" -0.0163569730274324
25 "walking" "TimeBodyAccelerationMeanY" -0.0186477624716216
25 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0210170522987931
25 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0269863524264615
26 "laying" "TimeBodyAccelerationMeanY" -0.0191895728026316
26 "sitting" "TimeBodyAccelerationMeanY" -0.00713364541358974
26 "standing" "TimeBodyAccelerationMeanY" -0.0166608306652703
26 "walking" "TimeBodyAccelerationMeanY" -0.0154259586949153
26 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.01262580966778
26 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0281633797398182
27 "laying" "TimeBodyAccelerationMeanY" -0.0179867611216216
27 "sitting" "TimeBodyAccelerationMeanY" -0.0155269799285714
27 "standing" "TimeBodyAccelerationMeanY" -0.016593236445
27 "walking" "TimeBodyAccelerationMeanY" -0.0166478783221912
27 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0135564467159091
27 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0200953324078431
28 "laying" "TimeBodyAccelerationMeanY" -0.0167537858225
28 "sitting" "TimeBodyAccelerationMeanY" -0.0185404441258333
28 "standing" "TimeBodyAccelerationMeanY" -0.0172635124672152
28 "walking" "TimeBodyAccelerationMeanY" -0.0156759722981481
28 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0220230465913043
28 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0279443943478431
29 "laying" "TimeBodyAccelerationMeanY" -0.0171965484202899
29 "sitting" "TimeBodyAccelerationMeanY" -0.016630680375
29 "standing" "TimeBodyAccelerationMeanY" -0.0172605869061538
29 "walking" "TimeBodyAccelerationMeanY" -0.0162915600588679
29 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.01494121505625
29 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0299465312326531
30 "laying" "TimeBodyAccelerationMeanY" -0.0194494098614286
30 "sitting" "TimeBodyAccelerationMeanY" -0.00804731295322581
30 "standing" "TimeBodyAccelerationMeanY" -0.0170163887813559
30 "walking" "TimeBodyAccelerationMeanY" -0.0175880385730769
30 "walkingDownstairs" "TimeBodyAccelerationMeanY" -0.0174383900204839
30 "walkingUpstairs" "TimeBodyAccelerationMeanY" -0.0253311698786154
1 "laying" "TimeBodyAccelerationMeanZ" -0.11320355358
1 "sitting" "TimeBodyAccelerationMeanZ" -0.104544182255319
1 "standing" "TimeBodyAccelerationMeanZ" -0.110601817735849
1 "walking" "TimeBodyAccelerationMeanZ" -0.111148103547368
1 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.107566190908163
1 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.0973020020943396
2 "laying" "TimeBodyAccelerationMeanZ" -0.107245610416667
2 "sitting" "TimeBodyAccelerationMeanZ" -0.109218272456522
2 "standing" "TimeBodyAccelerationMeanZ" -0.105908536055556
2 "walking" "TimeBodyAccelerationMeanZ" -0.105500357966102
2 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.116812942382979
2 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.152513899520833
3 "laying" "TimeBodyAccelerationMeanZ" -0.101300477506452
3 "sitting" "TimeBodyAccelerationMeanZ" -0.0983579203269231
3 "standing" "TimeBodyAccelerationMeanZ" -0.101621722633148
3 "walking" "TimeBodyAccelerationMeanZ" -0.112674859827586
3 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.116139842908163
3 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.110064863437288
4 "laying" "TimeBodyAccelerationMeanZ" -0.110688150314815
4 "sitting" "TimeBodyAccelerationMeanZ" -0.10587459588
4 "standing" "TimeBodyAccelerationMeanZ" -0.0961574905535714
4 "walking" "TimeBodyAccelerationMeanZ" -0.11140306485
4 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.1067775246
4 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.114219455519231
5 "laying" "TimeBodyAccelerationMeanZ" -0.107937603673077
5 "sitting" "TimeBodyAccelerationMeanZ" -0.108540300265909
5 "standing" "TimeBodyAccelerationMeanZ" -0.102171095696429
5 "walking" "TimeBodyAccelerationMeanZ" -0.107741776464286
5 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.100319930659574
5 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.107471453914894
6 "laying" "TimeBodyAccelerationMeanZ" -0.133119570368421
6 "sitting" "TimeBodyAccelerationMeanZ" -0.110127728709091
6 "standing" "TimeBodyAccelerationMeanZ" -0.112172831947368
6 "walking" "TimeBodyAccelerationMeanZ" -0.110303165877193
6 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.107209356208333
6 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.122082438784314
7 "laying" "TimeBodyAccelerationMeanZ" -0.101361036576923
7 "sitting" "TimeBodyAccelerationMeanZ" -0.122464597625
7 "standing" "TimeBodyAccelerationMeanZ" -0.0997778303207547
7 "walking" "TimeBodyAccelerationMeanZ" -0.110912234947368
7 "walkingDownstairs" "TimeBodyAccelerationMeanZ" -0.096938308587234
7 "walkingUpstairs" "TimeBodyAccelerationMeanZ" -0.143769688803922
8 "laying" "TimeBodyAccelerationMeanZ" -0.102245365611111
